Pais,NumCit,Programa
Irlanda,1,391
Hungria,1,391
Gana,1,391
Líbano,1,391
Kosovo,1,391
Paquistão,1,391
Palau,1,391
Samoa,1,391
Trinidad e Tobago,1,391
Síria,1,391
Sri Lanka,1,391
Senegal,1,391
Sudão do Sul,1,391
Tuvalu,1,391
Vaticano,1,391
Brasil,52,392
Estados Unidos,47,392
Índia,26,392
China,22,392
Israel,21,392
Rússia,21,392
França,16,392
Venezuela,16,392
Bangladesh,13,392
Alemanha,13,392
México,11,392
Egito,11,392
Somália,10,392
Paquistão,8,392
Austrália,8,392
Bolívia,8,392
Uruguai,7,392
Kiribati,7,392
Suécia,6,392
Sudão,5,392
Etiópia,5,392
Chile,4,392
Argentina,4,392
Emirados Árabes Unidos,4,392
Canadá,4,392
Tonga,4,392
Jordânia,4,392
Espanha,4,392
Vanuatu,3,392
Portugal,3,392
Turquia,3,392
Palestina,3,392
Dinamarca,3,392
Afeganistão,2,392
Dominica,2,392
Hungria,2,392
Polônia,2,392
Zâmbia,2,392
Moçambique,2,392
Nova Zelândia,2,392
Itália,2,392
Gâmbia,2,392
Barbados,1,392
Butão,1,392
Estônia,1,392
Colômbia,1,392
Filipinas,1,392
Irã,1,392
Mauritânia,1,392
Japão,1,392
Ucrânia,1,392
Taiwan,1,392
Israel,81,393
Brasil,55,393
Estados Unidos,52,393
Venezuela,36,393
Alemanha,20,393
Rússia,16,393
Argentina,14,393
Turquia,13,393
Paraguai,12,393
Guiné,12,393
China,12,393
Egito,11,393
Chile,11,393
Bangladesh,9,393
Palestina,9,393
Uruguai,7,393
África do Sul,5,393
França,5,393
México,5,393
Portugal,5,393
Líbano,5,393
Guatemala,4,393
Bolívia,4,393
Afeganistão,4,393
Suíça,4,393
Uganda,4,393
Gabão,3,393
Guiné-Bissau,3,393
Kosovo,3,393
Equador,3,393
Tonga,3,393
Nepal,3,393
Maurício,3,393
Kiribati,3,393
Barbados,2,393
Canadá,2,393
Etiópia,2,393
Zâmbia,2,393
Nova Zelândia,2,393
República Democrática do Congo,2,393
Jordânia,2,393
Irã,2,393
Cabo Verde,1,393
Dinamarca,1,393
Camarões,1,393
Espanha,1,393
Colômbia,1,393
Grécia,1,393
Itália,1,393
Jamaica,1,393
Polônia,1,393
Panamá,1,393
Taiwan,1,393
Brasil,49,394
Estados Unidos,48,394
Rússia,28,394
Venezuela,23,394
China,22,394
Argentina,17,394
Peru,17,394
Israel,16,394
Chile,14,394
Alemanha,14,394
Polônia,12,394
Sudão,8,394
México,8,394
Japão,8,394
Canadá,8,394
Equador,8,394
Honduras,7,394
Ucrânia,7,394
Afeganistão,6,394
Albânia,6,394
Espanha,5,394
Uruguai,5,394
Egito,5,394
Jordânia,4,394
Senegal,4,394
França,4,394
Hungria,4,394
Síria,4,394
Suíça,3,394
Bolívia,3,394
Bélgica,3,394
África do Sul,3,394
Índia,3,394
Letônia,3,394
Itália,2,394
Guatemala,2,394
Austrália,2,394
Paraguai,2,394
Noruega,2,394
Palestina,2,394
Turquia,2,394
Marrocos,2,394
El Salvador,2,394
Maurício,2,394
Gabão,1,394
Costa Rica,1,394
Filipinas,1,394
República do Congo,1,394
Burkina Faso,1,394
Belize,1,394
Emirados Árabes Unidos,1,394
Nigéria,1,394
Nepal,1,394
Laos,1,394
Luxemburgo,1,394
Irlanda,1,394
Jamaica,1,394
República Democrática do Congo,1,394
Sudão do Sul,1,394
Estados Unidos,66,395
Brasil,40,395
Israel,38,395
Alemanha,20,395
Argentina,18,395
Rússia,17,395
China,14,395
Ucrânia,12,395
Índia,11,395
Venezuela,11,395
Chile,9,395
Itália,9,395
Suíça,8,395
Irã,8,395
Canadá,7,395
França,7,395
Espanha,7,395
Peru,7,395
Portugal,6,395
Bolívia,5,395
Paraguai,5,395
México,5,395
Polônia,5,395
Sri Lanka,4,395
Colômbia,4,395
Japão,4,395
Sudão do Sul,3,395
Paquistão,3,395
Afeganistão,3,395
Sudão,3,395
Taiwan,2,395
África do Sul,2,395
Síria,2,395
Camarões,2,395
Irlanda,2,395
Guiné,1,395
Costa Rica,1,395
Angola,1,395
Austrália,1,395
Bangladesh,1,395
Belize,1,395
Indonésia,1,395
Hungria,1,395
Nova Zelândia,1,395
Nauru,1,395
Jordânia,1,395
Laos,1,395
Líbano,1,395
Mali,1,395
Jamaica,1,395
Marrocos,1,395
Namíbia,1,395
República Democrática do Congo,1,395
Tuvalu,1,395
Turquia,1,395
Tonga,1,395
Palestina,1,395
Estados Unidos,57,396
Brasil,45,396
Israel,32,396
China,26,396
Venezuela,21,396
Japão,18,396
Rússia,15,396
Argentina,13,396
México,12,396
Índia,10,396
França,9,396
Albânia,9,396
Chile,9,396
Uruguai,8,396
Peru,7,396
Islândia,7,396
Alemanha,7,396
Palestina,6,396
República Democrática do Congo,5,396
Portugal,5,396
Síria,5,396
Espanha,5,396
Bolívia,4,396
Colômbia,3,396
Vaticano,2,396
Canadá,2,396
Afeganistão,2,396
Taiwan,2,396
Sudão,2,396
Turquia,2,396
Barbados,2,396
Austrália,2,396
Burundi,2,396
Panamá,2,396
Equador,1,396
Egito,1,396
Dinamarca,1,396
África do Sul,1,396
Guadalupe,1,396
Hungria,1,396
Indonésia,1,396
Irã,1,396
Paraguai,1,396
Montenegro,1,396
Itália,1,396
Etiópia,1,396
Sri Lanka,1,396
Somália,1,396
Ucrânia,1,396
Suíça,1,396
Israel,79,397
Estados Unidos,56,397
Irã,53,397
Brasil,33,397
Rússia,25,397
China,20,397
México,16,397
Líbano,16,397
Alemanha,16,397
Turquia,16,397
Palestina,15,397
Argentina,13,397
Venezuela,13,397
Paquistão,8,397
França,7,397
Maurício,6,397
Japão,6,397
Vanuatu,5,397
Equador,4,397
Iraque,4,397
Ucrânia,4,397
Tuvalu,4,397
Chile,4,397
Bangladesh,4,397
Indonésia,4,397
Uruguai,4,397
Síria,4,397
Kiribati,3,397
Afeganistão,3,397
Egito,3,397
África do Sul,3,397
Azerbaijão,3,397
Nepal,3,397
Bolívia,2,397
Índia,2,397
Emirados Árabes Unidos,1,397
Guiné,1,397
Cuba,1,397
Colômbia,1,397
Brunei,1,397
Espanha,1,397
Filipinas,1,397
Noruega,1,397
Marrocos,1,397
Luxemburgo,1,397
Jordânia,1,397
Jamaica,1,397
Quênia,1,397
Kosovo,1,397
Paraguai,1,397
Tunísia,1,397
Sudão,1,397
Polônia,1,397
Portugal,1,397
Suíça,1,397
Uganda,1,397
Zâmbia,1,397
Estados Unidos,50,398
Israel,41,398
Brasil,21,398
Argentina,16,398
China,16,398
Irã,15,398
Singapura,13,398
Líbano,13,398
França,12,398
Rússia,10,398
Chile,10,398
Índia,8,398
Itália,8,398
Alemanha,7,398
Portugal,7,398
México,6,398
Uruguai,6,398
Colômbia,5,398
Ucrânia,5,398
Paraguai,5,398
Maldivas,5,398
Japão,5,398
Egito,4,398
Filipinas,4,398
Espanha,4,398
Etiópia,4,398
Turquia,4,398
Tunísia,4,398
Sudão do Sul,3,398
Angola,3,398
Austrália,3,398
Sudão,3,398
Iraque,3,398
Peru,3,398
Bolívia,3,398
Camarões,3,398
Afeganistão,2,398
Canadá,2,398
Nepal,2,398
Maurício,2,398
Dinamarca,2,398
Paquistão,2,398
Noruega,2,398
Nova Zelândia,2,398
Indonésia,1,398
Cuba,1,398
Palau,1,398
Somália,1,398
República Democrática do Congo,1,398
Samoa,1,398
Tuvalu,1,398
Turcomenistão,1,398
Uganda,1,398
Venezuela,1,398
Estados Unidos,45,399
Israel,40,399
Brasil,27,399
Canadá,27,399
Índia,20,399
Argentina,15,399
Rússia,13,399
França,10,399
Austrália,9,399
México,9,399
Paquistão,8,399
Espanha,7,399
Itália,6,399
China,6,399
Islândia,5,399
Taiwan,5,399
Líbano,4,399
África do Sul,4,399
Bolívia,4,399
Chile,4,399
Uruguai,4,399
Venezuela,3,399
Somália,3,399
Palestina,3,399
Bangladesh,2,399
Síria,2,399
Mali,2,399
Moçambique,2,399
Singapura,2,399
Alemanha,1,399
Burundi,1,399
Gabão,1,399
Granada,1,399
Egito,1,399
Colômbia,1,399
Ruanda,1,399
República Democrática do Congo,1,399
Paraguai,1,399
Turquia,1,399
Estados Unidos,61,400
Brasil,56,400
Argentina,44,400
China,44,400
Turquia,40,400
Rússia,34,400
Israel,24,400
Uruguai,23,400
Índia,22,400
Venezuela,21,400
Ucrânia,12,400
Japão,10,400
Bolívia,8,400
México,8,400
Colômbia,7,400
Egito,7,400
França,7,400
Peru,7,400
Itália,7,400
Azerbaijão,6,400
Cuba,6,400
Canadá,5,400
Chile,5,400
Alemanha,5,400
Jordânia,4,400
Palestina,4,400
Irã,4,400
Moçambique,4,400
Tunísia,4,400
Indonésia,3,400
Albânia,3,400
Bangladesh,3,400
Marrocos,2,400
Equador,2,400
Síria,2,400
Noruega,2,400
Maurício,2,400
Filipinas,1,400
Espanha,1,400
Dinamarca,1,400
Austrália,1,400
Etiópia,1,400
Guiana,1,400
Iraque,1,400
Malásia,1,400
Maldivas,1,400
Paquistão,1,400
Panamá,1,400
Paraguai,1,400
Nepal,1,400
Uganda,1,400
Sudão,1,400
Estados Unidos,89,401
Israel,33,401
Rússia,26,401
Argentina,24,401
Brasil,20,401
Venezuela,15,401
Chile,9,401
Japão,8,401
Alemanha,8,401
França,7,401
Cuba,7,401
Colômbia,7,401
México,7,401
Palestina,6,401
Espanha,6,401
Somália,5,401
Síria,5,401
China,5,401
Egito,4,401
Bolívia,4,401
Cabo Verde,4,401
Equador,4,401
Portugal,3,401
Uruguai,3,401
Sahara Ocidental,3,401
Lituânia,3,401
Noruega,3,401
Canadá,3,401
Itália,3,401
Indonésia,3,401
Ucrânia,2,401
Turquia,2,401
Hungria,2,401
Filipinas,2,401
Angola,2,401
Polônia,2,401
Iraque,2,401
Marrocos,2,401
Jordânia,2,401
Peru,2,401
Panamá,2,401
Índia,1,401
Austrália,1,401
Afeganistão,1,401
Letônia,1,401
Líbano,1,401
Maurício,1,401
Kiribati,1,401
República Democrática do Congo,1,401
Suécia,1,401
Sudão,1,401
Vanuatu,1,401
Taiwan,1,401
Estados Unidos,69,402
Israel,47,402
Brasil,36,402
Venezuela,20,402
China,19,402
México,14,402
França,12,402
Rússia,12,402
Palestina,11,402
Argentina,11,402
Cuba,11,402
Irlanda,10,402
Alemanha,9,402
Chile,9,402
Espanha,8,402
Bolívia,8,402
Peru,5,402
Uruguai,5,402
Irã,4,402
Nova Zelândia,4,402
Somália,4,402
Japão,3,402
Taiwan,3,402
Indonésia,2,402
Ruanda,2,402
Colômbia,2,402
África do Sul,1,402
Canadá,1,402
Barbados,1,402
Equador,1,402
El Salvador,1,402
Iraque,1,402
Gabão,1,402
Guatemala,1,402
Guiné,1,402
Haiti,1,402
Ilhas Malvinas,1,402
Jordânia,1,402
Jamaica,1,402
Mali,1,402
Paquistão,1,402
Portugal,1,402
Panamá,1,402
Ucrânia,1,402
Senegal,1,402
Brasil,162,403
Estados Unidos,77,403
Argentina,34,403
China,32,403
África do Sul,29,403
Índia,26,403
Israel,25,403
Rússia,19,403
Canadá,16,403
Paraguai,13,403
Chile,12,403
Turquia,11,403
França,10,403
Guiana,9,403
Azerbaijão,9,403
Alemanha,8,403
Bolívia,8,403
Palestina,8,403
Noruega,7,403
Itália,7,403
Uruguai,7,403
Venezuela,7,403
Japão,6,403
Equador,5,403
Espanha,5,403
Peru,5,403
Somália,5,403
Cuba,5,403
Filipinas,5,403
Nova Zelândia,5,403
Sudão,4,403
Suécia,4,403
México,4,403
El Salvador,4,403
Angola,3,403
Romênia,3,403
República Democrática do Congo,3,403
Colômbia,3,403
Egito,3,403
Albânia,2,403
Austrália,2,403
Singapura,2,403
Grécia,2,403
Chade,2,403
Bulgária,2,403
Irã,2,403
Maurício,2,403
Iraque,2,403
Emirados Árabes Unidos,1,403
Gabão,1,403
Paquistão,1,403
Marrocos,1,403
Mali,1,403
Síria,1,403
Senegal,1,403
Samoa,1,403
Ucrânia,1,403
Estados Unidos,64,404
Brasil,46,404
Turquia,28,404
Canadá,22,404
Israel,22,404
Uruguai,22,404
México,18,404
China,18,404
França,17,404
Síria,17,404
Austrália,15,404
Argentina,15,404
Venezuela,15,404
Rússia,13,404
Paraguai,10,404
Bolívia,8,404
Chile,8,404
Equador,5,404
Somália,5,404
Irlanda,5,404
Guatemala,5,404
Irã,4,404
Alemanha,4,404
Filipinas,4,404
Namíbia,4,404
Peru,3,404
Vaticano,3,404
Polônia,3,404
Guiana,2,404
Suíça,2,404
Japão,2,404
Palestina,2,404
Sudão,2,404
Itália,2,404
Noruega,2,404
Egito,1,404
Benin,1,404
África do Sul,1,404
Afeganistão,1,404
Espanha,1,404
Índia,1,404
Honduras,1,404
Malásia,1,404
Líbano,1,404
Maurício,1,404
Islândia,1,404
Suécia,1,404
Romênia,1,404
Vanuatu,1,404
Taiwan,1,404
Israel,157,405
Estados Unidos,74,405
Síria,59,405
Rússia,56,405
Brasil,49,405
China,36,405
Argentina,32,405
Irlanda,30,405
França,22,405
Turquia,21,405
Peru,18,405
Canadá,16,405
Irã,15,405
Venezuela,14,405
Palestina,14,405
Bolívia,13,405
Paraguai,12,405
Japão,11,405
Índia,10,405
Romênia,9,405
Egito,8,405
Alemanha,8,405
República Democrática do Congo,8,405
Colômbia,7,405
Chile,7,405
Iraque,6,405
Itália,6,405
Uruguai,6,405
Equador,6,405
Espanha,5,405
Angola,5,405
Bangladesh,5,405
Austrália,5,405
Indonésia,5,405
Grécia,5,405
México,5,405
Suíça,5,405
Sudão,5,405
Polônia,4,405
Ucrânia,3,405
África do Sul,3,405
Islândia,3,405
Jamaica,3,405
Somália,3,405
Taiwan,3,405
Afeganistão,2,405
Jordânia,2,405
Estônia,2,405
Dinamarca,2,405
Vanuatu,2,405
Vaticano,2,405
Nauru,2,405
Portugal,2,405
Panamá,2,405
Bélgica,1,405
Etiópia,1,405
Guiné,1,405
Brunei,1,405
Nova Zelândia,1,405
Mali,1,405
Namíbia,1,405
Noruega,1,405
Madagascar,1,405
Ruanda,1,405
Samoa,1,405
Senegal,1,405
Singapura,1,405
